run,seconds,phase,working_bytes,private_bytes,unity_bytes,motion_playables
e3fd-no-shots,45.104822,Speaking,285442048,517529600,78067457,
e3fd-no-shots,50.10495,Speaking,302616576,534765568,78497860,
e3fd-no-shots,55.107254,Ready,301285376,533397504,77735947,
e3fd-no-shots,60.1082,Ready,288776192,520826880,77736869,
e3fd-no-shots,65.109236,Ready,288751616,519741440,77736067,
e3fd-no-shots,70.110549,Ready,288595968,516571136,77749120,
e3fd-no-shots,75.111471,Ready,288464896,514449408,77748607,
e3fd-no-shots,80.112433,Ready,288419840,513392640,77747730,
e3fd-no-shots,85.114248,Ready,288362496,512335872,77758504,
e3fd-no-shots,90.115217,Ready,288378880,512335872,77758715,
e3fd-no-shots,95.116624,Ready,288378880,512335872,77759506,
e3fd-no-shots,100.117598,Ready,288436224,515510272,77772363,
e3fd-no-shots,105.117951,Ready,288395264,513396736,77771155,
e3fd-no-shots,110.119672,Ready,288436224,515510272,77772482,
e3fd-no-shots,115.12267,Ready,288436224,515510272,77783234,
e3fd-no-shots,120.1236,Ready,288428032,515485696,77783392,
e3fd-no-shots,125.124233,Ready,288428032,515485696,77783235,
e3fd-no-shots,130.125068,Ready,288432128,515485696,77800971,
e3fd-no-shots,135.126065,Ready,288419840,515457024,77801051,
e3fd-no-shots,140.127093,Ready,288432128,515485696,77801525,
e3fd-no-shots,145.128742,Ready,288432128,515485696,77811963,
e3fd-no-shots,150.130273,Ready,288436224,515485696,77812240,
e3fd-no-shots,155.130602,Ready,288526336,517599232,77813720,
e3fd-no-shots,160.130891,Ready,288489472,515485696,77823185,
e3fd-no-shots,165.131312,Ready,288473088,514428928,77822515,
e3fd-no-shots,170.131439,Ready,288473088,514428928,77822555,
e3fd-no-shots,175.131847,Ready,288428032,513372160,77832683,
e3fd-no-shots,180.132597,Ready,288428032,513372160,77832723,
e3fd-no-shots,185.133001,Ready,288428032,513372160,77833039,
e3fd-no-shots,190.133857,Ready,288403456,512311296,77842859,
e3fd-no-shots,195.134106,Ready,288403456,512311296,77842899,
e3fd-no-shots,200.134978,Ready,288403456,512311296,77842947,
e3fd-no-shots,205.137107,Ready,288403456,512311296,77853699,
e3fd-no-shots,210.13845,Ready,288403456,512311296,77854015,
e3fd-no-shots,215.139628,Ready,288403456,512311296,77853778,
e3fd-no-shots,220.14065,Ready,288403456,512311296,77864483,
e3fd-no-shots,225.141274,Ready,288403456,512311296,77864642,
e3fd-no-shots,230.14195,Ready,288403456,512311296,77864721,
e3fd-no-shots,235.143361,Ready,288403456,512311296,77875592,
e3fd-no-shots,240.144133,Ready,288407552,512315392,77875672,
e3fd-no-shots,245.145929,Ready,288407552,512315392,77875514,
e3fd-no-shots,250.148098,Ready,288473088,512315392,77900139,
e3fd-no-shots,255.149327,Ready,288571392,515489792,77901979,
e3fd-no-shots,260.150587,Ready,288505856,513376256,77900731,
e3fd-no-shots,265.151292,Ready,288485376,513318912,77911864,
e3fd-no-shots,270.152204,Ready,288485376,513318912,77911667,
e3fd-no-shots,275.153743,Ready,288485376,513318912,77911746,
e3fd-no-shots,280.154544,Ready,288485376,513318912,77922530,
e3fd-no-shots,285.154994,Ready,288501760,513347584,77922728,
e3fd-no-shots,290.155968,Ready,288501760,513347584,77922531,
e3fd-no-shots,295.156947,Ready,288501760,513347584,77933520,
e3fd-no-shots,300.157212,Ready,288702464,513409024,77933283,
e3fd-no-shots,305.157907,Ready,288702464,513409024,77933323,
e3fd-no-shots,310.158147,Ready,288702464,513409024,77944083,
e3fd-no-shots,315.158818,Ready,288669696,512323584,77943847,
e3fd-no-shots,320.160244,Ready,288669696,512323584,77943610,
e3fd-no-shots,325.161368,Ready,288673792,512323584,77954363,
e3fd-no-shots,330.162447,Ready,288673792,512323584,77954680,
e3fd-no-shots,335.16357,Ready,288673792,512323584,77954483,
e3fd-no-shots,340.16442,Ready,288673792,512323584,77965267,
e3fd-no-shots,345.164807,Ready,288673792,512323584,77965504,
e3fd-no-shots,350.165359,Ready,288673792,512323584,77965267,
e3fd-no-shots,355.166551,Ready,288673792,512323584,77976256,
e3fd-no-shots,360.16712,Ready,288780288,512327680,77976178,
e3fd-no-shots,365.168595,Ready,288784384,512331776,77976099,
e3fd-no-shots,370.169426,Ready,288645120,512331776,77987056,
e3fd-no-shots,375.170496,Ready,288620544,512331776,77986819,
e3fd-no-shots,380.171537,Ready,288620544,512331776,77986859,
e3fd-no-shots,385.173067,Ready,288620544,512331776,77998243,
